course_title,skills,rating,review_count,level,duration,skills_list,filtered_skills,Algorithms,Business Analysis,Cloud Computing,Communication,Computer Programming,Critical Thinking,Data Analysis,Data Management,Data Visualization,Databases,Decision Making,Entrepreneurship,Finance,General Statistics,Human Learning,Leadership and Management,Machine Learning,Machine Learning Algorithms,Marketing,Planning,Probability & Statistics,Problem Solving,Python Programming,Strategy,Strategy and Operations
Meta React Native,"{"" React (web framework)"","" Javascript"","" Mobile Development"","" Mobile Development Tools"","" Web Development"","" HTML and CSS"","" Front-End Web Development"","" Web Development Tools"","" Application Development"","" Computer Programming"","" Programming Principles"","" User Experience"","" Web Design"","" Software Engineering Tools"","" SQL"","" Software Engineering"","" Agile Software Development"","" Collaboration"","" Data Management"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Product Design"","" Product Lifecycle"","" Project Management""}",4.7,6700.0,Beginner , 3 - 6 Months,"['React (web framework)', 'Javascript', 'Mobile Development', 'Mobile Development Tools', 'Web Development', 'HTML and CSS', 'Front-End Web Development', 'Web Development Tools', 'Application Development', 'Computer Programming', 'Programming Principles', 'User Experience', 'Web Design', 'Software Engineering Tools', 'SQL', 'Software Engineering', 'Agile Software Development', 'Collaboration', 'Data Management', 'Human Computer Interaction', 'Interactive Design', 'Linux', 'Product Design', 'Product Lifecycle', 'Project Management']","['Computer Programming', 'Data Management']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Execution: Running the Project,"{"" Leadership and Management"","" Communication"","" Project Management"","" Strategy and Operations"","" Business Communication"","" Collaboration"","" Risk Management"","" Planning""}",4.8,7100.0,Beginner , 1 - 3 Months,"['Leadership and Management', 'Communication', 'Project Management', 'Strategy and Operations', 'Business Communication', 'Collaboration', 'Risk Management', 'Planning']","['Leadership and Management', 'Communication', 'Strategy and Operations', 'Planning']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Meta Social Media Marketing,"{"" Marketing"","" Digital Marketing"","" Social Media"","" Advertising"","" Communication"","" Media Strategy & Planning"","" Marketing Management"","" Customer Analysis"","" Brand Management"","" Business Analysis"","" Marketing Design"","" Sales"","" Strategy and Operations"","" Data Analysis"","" General Statistics"","" Market Analysis"","" Probability & Statistics"","" Leadership and Management"","" Research and Design"","" Creativity"","" Planning"","" Entrepreneurship""}",4.8,17500.0,Beginner , 3 - 6 Months,"['Marketing', 'Digital Marketing', 'Social Media', 'Advertising', 'Communication', 'Media Strategy & Planning', 'Marketing Management', 'Customer Analysis', 'Brand Management', 'Business Analysis', 'Marketing Design', 'Sales', 'Strategy and Operations', 'Data Analysis', 'General Statistics', 'Market Analysis', 'Probability & Statistics', 'Leadership and Management', 'Research and Design', 'Creativity', 'Planning', 'Entrepreneurship']","['Marketing', 'Communication', 'Business Analysis', 'Strategy and Operations', 'Data Analysis', 'General Statistics', 'Probability & Statistics', 'Leadership and Management', 'Planning', 'Entrepreneurship']",0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1
Foundations of Digital Marketing and E-commerce,"{"" Digital Marketing"","" Marketing"","" E-Commerce"","" Strategy"","" Data Analysis"","" Social Media""}",4.8,15600.0,Beginner , 1 - 4 Weeks,"['Digital Marketing', 'Marketing', 'E-Commerce', 'Strategy', 'Data Analysis', 'Social Media']","['Marketing', 'Strategy', 'Data Analysis']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Prompt Engineering for ChatGPT,"{"" Creativity"","" Problem Solving"","" Writing""}",4.8,1700.0,Beginner , 1 - 3 Months,"['Creativity', 'Problem Solving', 'Writing']",['Problem Solving'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Finance & Quantitative Modeling for Analysts,"{"" Finance"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Accounting"","" Forecasting"","" Financial Management"","" General Accounting"","" General Statistics"","" Statistical Analysis"","" Financial Accounting"","" Mathematical Theory & Analysis"","" Accounts Payable and Receivable"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Correlation And Dependence"","" Data Model"","" Decision Making"","" Regression"","" Generally Accepted Accounting Principles (GAAP)"","" Management Accounting"","" Statistical Tests"","" Strategy and Operations"","" Budget Management"","" Microsoft Excel"","" Spreadsheet Software"","" Entrepreneurship"","" Linear Algebra"","" Computer Programming""}",4.5,15700.0,Beginner , 3 - 6 Months,"['Finance', 'Business Analysis', 'Data Analysis', 'Financial Analysis', 'Accounting', 'Forecasting', 'Financial Management', 'General Accounting', 'General Statistics', 'Statistical Analysis', 'Financial Accounting', 'Mathematical Theory & Analysis', 'Accounts Payable and Receivable', 'Probability & Statistics', 'Basic Descriptive Statistics', 'Correlation And Dependence', 'Data Model', 'Decision Making', 'Regression', 'Generally Accepted Accounting Principles (GAAP)', 'Management Accounting', 'Statistical Tests', 'Strategy and Operations', 'Budget Management', 'Microsoft Excel', 'Spreadsheet Software', 'Entrepreneurship', 'Linear Algebra', 'Computer Programming']","['Finance', 'Business Analysis', 'Data Analysis', 'General Statistics', 'Probability & Statistics', 'Decision Making', 'Strategy and Operations', 'Entrepreneurship', 'Computer Programming']",0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
Introduction to Finance and Accounting,"{"" Accounting"","" Finance"","" Financial Accounting"","" General Accounting"","" Financial Analysis"","" Generally Accepted Accounting Principles (GAAP)"","" Accounts Payable and Receivable"","" Cost Accounting"","" Account Management"","" Cash Management"","" Decision Making"","" Investment Management"","" Taxes"","" Budget Management"","" Estimation"","" Management Accounting"","" Problem Solving"","" Business Analysis"","" Mathematical Theory & Analysis"","" Mathematics"","" Data Analysis"","" Entrepreneurship"","" Strategy and Operations""}",4.6,12900.0,Beginner , 3 - 6 Months,"['Accounting', 'Finance', 'Financial Accounting', 'General Accounting', 'Financial Analysis', 'Generally Accepted Accounting Principles (GAAP)', 'Accounts Payable and Receivable', 'Cost Accounting', 'Account Management', 'Cash Management', 'Decision Making', 'Investment Management', 'Taxes', 'Budget Management', 'Estimation', 'Management Accounting', 'Problem Solving', 'Business Analysis', 'Mathematical Theory & Analysis', 'Mathematics', 'Data Analysis', 'Entrepreneurship', 'Strategy and Operations']","['Finance', 'Decision Making', 'Problem Solving', 'Business Analysis', 'Data Analysis', 'Entrepreneurship', 'Strategy and Operations']",0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
AI in Healthcare,"{"" Machine Learning"","" Leadership and Management"","" Data Analysis"","" Data Mining""}",4.7,1300.0,Beginner , 3 - 6 Months,"['Machine Learning', 'Leadership and Management', 'Data Analysis', 'Data Mining']","['Machine Learning', 'Leadership and Management', 'Data Analysis']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Machine Learning Engineering for Production (MLOps),"{"" Machine Learning"","" Applied Machine Learning"","" Python Programming"","" Statistical Programming"","" Tensorflow"","" DevOps"","" Devops Tools"","" Exploratory Data Analysis"","" Feature Engineering"","" Machine Learning Software"","" Probability & Statistics"","" Cloud Computing"","" Deep Learning"","" Google Cloud Platform"","" Other Cloud Platforms and Tools"","" Performance Management"","" Kubernetes"","" Leadership and Management""}",4.7,3300.0,Advanced , 3 - 6 Months,"['Machine Learning', 'Applied Machine Learning', 'Python Programming', 'Statistical Programming', 'Tensorflow', 'DevOps', 'Devops Tools', 'Exploratory Data Analysis', 'Feature Engineering', 'Machine Learning Software', 'Probability & Statistics', 'Cloud Computing', 'Deep Learning', 'Google Cloud Platform', 'Other Cloud Platforms and Tools', 'Performance Management', 'Kubernetes', 'Leadership and Management']","['Machine Learning', 'Python Programming', 'Probability & Statistics', 'Cloud Computing', 'Leadership and Management']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
Play It Safe: Manage Security Risks,"{"" Audit"","" Leadership and Management"","" Risk Management""}",4.8,3600.0,Beginner , 1 - 4 Weeks,"['Audit', 'Leadership and Management', 'Risk Management']",['Leadership and Management'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Python 3 Programming,"{"" Python Programming"","" Computer Programming"","" Problem Solving""}",4.7,21300.0,Beginner , 3 - 6 Months,"['Python Programming', 'Computer Programming', 'Problem Solving']","['Python Programming', 'Computer Programming', 'Problem Solving']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Natural Language Processing,"{"" Natural Language Processing"","" Machine Learning"","" Python Programming"","" Statistical Programming"","" Artificial Neural Networks"","" Deep Learning"","" Probability & Statistics"","" Statistical Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Human Learning"","" Mathematics""}",4.6,5500.0,Intermediate , 3 - 6 Months,"['Natural Language Processing', 'Machine Learning', 'Python Programming', 'Statistical Programming', 'Artificial Neural Networks', 'Deep Learning', 'Probability & Statistics', 'Statistical Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Computer Programming', 'Human Learning', 'Mathematics']","['Machine Learning', 'Python Programming', 'Probability & Statistics', 'Machine Learning Algorithms', 'Computer Programming', 'Human Learning']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0
DeepLearning.AI TensorFlow Developer,"{"" Machine Learning"","" Tensorflow"","" Deep Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Applied Machine Learning"","" Human Learning"","" Computer Programming"","" Python Programming"","" Machine Learning Software"","" Natural Language Processing"","" Computer Vision"","" Forecasting"","" Algorithms"","" Data Visualization"","" Network Model"","" Statistical Machine Learning"","" Statistical Analysis""}",4.7,24300.0,Intermediate , 3 - 6 Months,"['Machine Learning', 'Tensorflow', 'Deep Learning', 'Machine Learning Algorithms', 'Artificial Neural Networks', 'Applied Machine Learning', 'Human Learning', 'Computer Programming', 'Python Programming', 'Machine Learning Software', 'Natural Language Processing', 'Computer Vision', 'Forecasting', 'Algorithms', 'Data Visualization', 'Network Model', 'Statistical Machine Learning', 'Statistical Analysis']","['Machine Learning', 'Machine Learning Algorithms', 'Human Learning', 'Computer Programming', 'Python Programming', 'Algorithms', 'Data Visualization']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Meta Back-End Developer,"{"" Python Programming"","" Databases"","" HTML and CSS"","" SQL"","" Database Design"","" Programming Principles"","" Algorithms"","" Computer Science"","" Big Data"","" React (web framework)"","" Software Testing"","" Web Development"","" Application Development"","" Back-End Web Development"","" Cloud API"","" Cloud Computing"","" Cloud Infrastructure"","" Collaboration"","" Communication"","" Computer Programming"","" Data Model"","" Data Structures"","" Data Warehousing"","" Database Administration"","" Database Application"","" Database Theory"","" DevOps"","" Django (Web Framework)"","" Front-End Web Development"","" Full-Stack Web Development"","" Javascript"","" Kubernetes"","" Linux"","" Problem Solving"","" Semantic Web"","" Software Engineering"","" Software Engineering Tools"","" Statistical Programming"","" Tensorflow"","" Web Design"","" Web Development Tools""}",4.7,6100.0,Beginner , 3 - 6 Months,"['Python Programming', 'Databases', 'HTML and CSS', 'SQL', 'Database Design', 'Programming Principles', 'Algorithms', 'Computer Science', 'Big Data', 'React (web framework)', 'Software Testing', 'Web Development', 'Application Development', 'Back-End Web Development', 'Cloud API', 'Cloud Computing', 'Cloud Infrastructure', 'Collaboration', 'Communication', 'Computer Programming', 'Data Model', 'Data Structures', 'Data Warehousing', 'Database Administration', 'Database Application', 'Database Theory', 'DevOps', 'Django (Web Framework)', 'Front-End Web Development', 'Full-Stack Web Development', 'Javascript', 'Kubernetes', 'Linux', 'Problem Solving', 'Semantic Web', 'Software Engineering', 'Software Engineering Tools', 'Statistical Programming', 'Tensorflow', 'Web Design', 'Web Development Tools']","['Python Programming', 'Databases', 'Algorithms', 'Cloud Computing', 'Communication', 'Computer Programming', 'Problem Solving']",1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Meta iOS Developer,"{"" Mobile Development"","" Swift Programming"","" iOS Development"","" Computer Programming"","" Mobile Development Tools"","" React (web framework)"","" Application Development"","" Software Engineering"","" Data Structures"","" User Experience"","" User Experience Design"","" Web Development"","" Computer Programming Tools"","" Software Engineering Tools"","" Front-End Web Development"","" Algorithms"","" Computer Science"","" Interactive Design"","" Javascript"","" Collaboration"","" Communication"","" Data Management"","" Django (Web Framework)"","" Human Computer Interaction"","" Linux"","" Problem Solving"","" Product Design"","" Software Architecture"","" Web Design""}",4.7,4900.0,Beginner , 3 - 6 Months,"['Mobile Development', 'Swift Programming', 'iOS Development', 'Computer Programming', 'Mobile Development Tools', 'React (web framework)', 'Application Development', 'Software Engineering', 'Data Structures', 'User Experience', 'User Experience Design', 'Web Development', 'Computer Programming Tools', 'Software Engineering Tools', 'Front-End Web Development', 'Algorithms', 'Computer Science', 'Interactive Design', 'Javascript', 'Collaboration', 'Communication', 'Data Management', 'Django (Web Framework)', 'Human Computer Interaction', 'Linux', 'Problem Solving', 'Product Design', 'Software Architecture', 'Web Design']","['Computer Programming', 'Algorithms', 'Communication', 'Data Management', 'Problem Solving']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Foundations of User Experience (UX) Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Product Development""}",4.8,60400.0,Beginner , 1 - 4 Weeks,"['User Experience', 'User Experience Design', 'User Research', 'Product Development']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meta Android Developer,"{"" Mobile Development"","" Computer Programming"","" React (web framework)"","" Mobile Development Tools"","" Application Development"","" Software Engineering"","" Android Development"","" Other Programming Languages"","" Web Development"","" User Experience"","" Algorithms"","" Computer Science"","" Front-End Web Development"","" Javascript"","" Programming Principles"","" Cloud API"","" Collaboration"","" Communication"","" Data Management"","" Data Structures"","" Human Computer Interaction"","" Interactive Design"","" Linux"","" Problem Solving"","" Product Design"","" SQL"","" Software Architecture"","" Software Engineering Tools"","" Swift Programming"","" Web Design""}",4.6,5100.0,Beginner , 3 - 6 Months,"['Mobile Development', 'Computer Programming', 'React (web framework)', 'Mobile Development Tools', 'Application Development', 'Software Engineering', 'Android Development', 'Other Programming Languages', 'Web Development', 'User Experience', 'Algorithms', 'Computer Science', 'Front-End Web Development', 'Javascript', 'Programming Principles', 'Cloud API', 'Collaboration', 'Communication', 'Data Management', 'Data Structures', 'Human Computer Interaction', 'Interactive Design', 'Linux', 'Problem Solving', 'Product Design', 'SQL', 'Software Architecture', 'Software Engineering Tools', 'Swift Programming', 'Web Design']","['Computer Programming', 'Algorithms', 'Communication', 'Data Management', 'Problem Solving']",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Business and Financial Modeling,"{"" Business Analysis"","" Data Analysis"","" Finance"","" General Statistics"","" Probability & Statistics"","" Financial Analysis"","" Statistical Analysis"","" Forecasting"","" Mathematics"","" Spreadsheet Software"","" Statistical Tests"","" Basic Descriptive Statistics"","" Data Model"","" Mathematical Theory & Analysis"","" Risk Management"","" Correlation And Dependence"","" Probability Distribution"","" Decision Making"","" Investment Management"","" Accounting"","" Leadership and Management"","" Regression"","" Financial Accounting"","" Microsoft Excel"","" Linear Algebra"","" Performance Management"","" Cash Management"","" General Accounting"","" Computer Programming""}",4.5,10600.0,Beginner , 3 - 6 Months,"['Business Analysis', 'Data Analysis', 'Finance', 'General Statistics', 'Probability & Statistics', 'Financial Analysis', 'Statistical Analysis', 'Forecasting', 'Mathematics', 'Spreadsheet Software', 'Statistical Tests', 'Basic Descriptive Statistics', 'Data Model', 'Mathematical Theory & Analysis', 'Risk Management', 'Correlation And Dependence', 'Probability Distribution', 'Decision Making', 'Investment Management', 'Accounting', 'Leadership and Management', 'Regression', 'Financial Accounting', 'Microsoft Excel', 'Linear Algebra', 'Performance Management', 'Cash Management', 'General Accounting', 'Computer Programming']","['Business Analysis', 'Data Analysis', 'Finance', 'General Statistics', 'Probability & Statistics', 'Decision Making', 'Leadership and Management', 'Computer Programming']",0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
AI For Business,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Data Analysis"","" Algorithms"","" Human Learning"","" Leadership and Management"","" Business Analysis"","" Decision Making"","" Human Resources"","" People Management"","" People Analysis"","" Artificial Neural Networks"","" Deep Learning"","" Business Transformation"","" Customer Analysis"","" Finance"","" Financial Accounting"","" Marketing"","" Probability & Statistics"","" Regulations and Compliance"","" Statistical Machine Learning"","" Strategy"","" User Experience"","" Big Data""}",4.7,400.0,Beginner , 3 - 6 Months,"['Machine Learning', 'Machine Learning Algorithms', 'Applied Machine Learning', 'Data Analysis', 'Algorithms', 'Human Learning', 'Leadership and Management', 'Business Analysis', 'Decision Making', 'Human Resources', 'People Management', 'People Analysis', 'Artificial Neural Networks', 'Deep Learning', 'Business Transformation', 'Customer Analysis', 'Finance', 'Financial Accounting', 'Marketing', 'Probability & Statistics', 'Regulations and Compliance', 'Statistical Machine Learning', 'Strategy', 'User Experience', 'Big Data']","['Machine Learning', 'Machine Learning Algorithms', 'Data Analysis', 'Algorithms', 'Human Learning', 'Leadership and Management', 'Business Analysis', 'Decision Making', 'Finance', 'Marketing', 'Probability & Statistics', 'Strategy']",1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0
Become a CBRS Certified Professional Installer by Google,"{"" Communication"","" SAS (Software)"","" Regulations and Compliance"","" Systems Design"","" System Security"","" Network Architecture"","" Process Analysis"","" Training"","" Decision Making"","" Operating Systems"","" Leadership and Management""}",4.6,184.0,Mixed , 1 - 3 Months,"['Communication', 'SAS (Software)', 'Regulations and Compliance', 'Systems Design', 'System Security', 'Network Architecture', 'Process Analysis', 'Training', 'Decision Making', 'Operating Systems', 'Leadership and Management']","['Communication', 'Decision Making', 'Leadership and Management']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Intuit Academy Bookkeeping,"{"" Accounting"","" General Accounting"","" Financial Accounting"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Cash Management"","" Finance"","" Financial Management"","" Accounts Payable and Receivable"","" Cost Accounting"","" Inventory Management"","" Accounting Software"","" Taxes""}",4.6,4900.0,Beginner , 3 - 6 Months,"['Accounting', 'General Accounting', 'Financial Accounting', 'Business Analysis', 'Data Analysis', 'Financial Analysis', 'Cash Management', 'Finance', 'Financial Management', 'Accounts Payable and Receivable', 'Cost Accounting', 'Inventory Management', 'Accounting Software', 'Taxes']","['Business Analysis', 'Data Analysis', 'Finance']",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Google Business Intelligence,"{"" Business Intelligence"","" Data Management"","" Data Model"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Tableau Software""}",4.7,940.0,Advanced , 3 - 6 Months,"['Business Intelligence', 'Data Management', 'Data Model', 'Extract', 'Transform', 'Load', 'Leadership and Management', 'Tableau Software']","['Data Management', 'Leadership and Management']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Project Initiation: Starting a Successful Project,"{"" Project Management"","" Strategy and Operations"","" Collaboration"","" Communication"","" Leadership and Management"","" Planning""}",4.8,17800.0,Beginner , 1 - 4 Weeks,"['Project Management', 'Strategy and Operations', 'Collaboration', 'Communication', 'Leadership and Management', 'Planning']","['Strategy and Operations', 'Communication', 'Leadership and Management', 'Planning']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Ask Questions to Make Data-Driven Decisions,"{"" Business Communication"","" Data Analysis"","" Spreadsheet Software"","" Big Data"","" Communication"","" Leadership and Management"","" Problem Solving"","" Small Data""}",4.7,28700.0,Beginner , 1 - 4 Weeks,"['Business Communication', 'Data Analysis', 'Spreadsheet Software', 'Big Data', 'Communication', 'Leadership and Management', 'Problem Solving', 'Small Data']","['Data Analysis', 'Communication', 'Leadership and Management', 'Problem Solving']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Meta Database Engineer,"{"" SQL"","" Databases"","" Statistical Programming"","" Python Programming"","" Database Design"","" Programming Principles"","" Algorithms"","" Computer Science"","" Big Data"","" Software Testing"","" Application Development"","" Collaboration"","" Communication"","" Computer Programming"","" Data Analysis"","" Data Management"","" Data Model"","" Data Structures"","" Data Warehousing"","" Database Administration"","" Database Application"","" Database Theory"","" Django (Web Framework)"","" Javascript"","" Linux"","" Problem Solving"","" Project Management"","" Software Engineering"","" Software Engineering Tools"","" Tableau Software"","" Tensorflow"","" Web Development""}",4.6,4400.0,Beginner , 3 - 6 Months,"['SQL', 'Databases', 'Statistical Programming', 'Python Programming', 'Database Design', 'Programming Principles', 'Algorithms', 'Computer Science', 'Big Data', 'Software Testing', 'Application Development', 'Collaboration', 'Communication', 'Computer Programming', 'Data Analysis', 'Data Management', 'Data Model', 'Data Structures', 'Data Warehousing', 'Database Administration', 'Database Application', 'Database Theory', 'Django (Web Framework)', 'Javascript', 'Linux', 'Problem Solving', 'Project Management', 'Software Engineering', 'Software Engineering Tools', 'Tableau Software', 'Tensorflow', 'Web Development']","['Databases', 'Python Programming', 'Algorithms', 'Communication', 'Computer Programming', 'Data Analysis', 'Data Management', 'Problem Solving']",1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Microsoft Cybersecurity Analyst,"{"" Cloud Computing"","" Computer Architecture"","" Cryptography"","" Data Management"","" Leadership and Management"","" Microsoft Azure"","" Network Security"","" Operating Systems""}",4.8,566.0,Beginner , 3 - 6 Months,"['Cloud Computing', 'Computer Architecture', 'Cryptography', 'Data Management', 'Leadership and Management', 'Microsoft Azure', 'Network Security', 'Operating Systems']","['Cloud Computing', 'Data Management', 'Leadership and Management']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Análisis de Datos de Google,"{"" Data Analysis"","" Data Management"","" Databases"","" Exploratory Data Analysis"","" Data Visualization"","" SQL"","" Business Analysis"","" Microsoft Excel"","" Process Analysis"","" Statistical Programming"","" Data Structures"","" Extract"","" Transform"","" Load"","" Spreadsheet Software"","" Communication"","" Computer Programming"","" Problem Solving"","" Strategy"","" Visualization (Computer Graphics)"","" Organizational Development"","" Tableau Software"","" Data Analysis Software"","" Plot (Graphics)"","" Programming Principles"","" R Programming"","" Strategy and Operations"","" Research and Design"","" Business Communication"","" Computer Programming Tools"","" Computer Graphics"","" Data Model"","" Security Engineering"","" System Security""}",4.8,6700.0,Beginner , 3 - 6 Months,"['Data Analysis', 'Data Management', 'Databases', 'Exploratory Data Analysis', 'Data Visualization', 'SQL', 'Business Analysis', 'Microsoft Excel', 'Process Analysis', 'Statistical Programming', 'Data Structures', 'Extract', 'Transform', 'Load', 'Spreadsheet Software', 'Communication', 'Computer Programming', 'Problem Solving', 'Strategy', 'Visualization (Computer Graphics)', 'Organizational Development', 'Tableau Software', 'Data Analysis Software', 'Plot (Graphics)', 'Programming Principles', 'R Programming', 'Strategy and Operations', 'Research and Design', 'Business Communication', 'Computer Programming Tools', 'Computer Graphics', 'Data Model', 'Security Engineering', 'System Security']","['Data Analysis', 'Data Management', 'Databases', 'Data Visualization', 'Business Analysis', 'Communication', 'Computer Programming', 'Problem Solving', 'Strategy', 'Strategy and Operations']",0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Business Analytics,"{"" Data Analysis"","" Business Analysis"","" Probability & Statistics"","" Statistical Analysis"","" Leadership and Management"","" Basic Descriptive Statistics"","" Exploratory Data Analysis"","" Financial Analysis"","" Forecasting"","" Data Model"","" Mathematics"","" Performance Management"","" Strategy"","" Accounting"","" Customer Analysis"","" Human Resources"","" Human Resources Operations"","" Market Analysis"","" Market Research"","" Marketing"","" Mathematical Theory & Analysis"","" Operations Management"","" Operations Research"","" Organizational Development"","" People Analysis"","" People Management"","" Spreadsheet Software"","" Talent Management"","" Financial Accounting"","" People Development"","" Collaboration"","" Finance"","" Regulations and Compliance""}",4.6,17700.0,Beginner , 3 - 6 Months,"['Data Analysis', 'Business Analysis', 'Probability & Statistics', 'Statistical Analysis', 'Leadership and Management', 'Basic Descriptive Statistics', 'Exploratory Data Analysis', 'Financial Analysis', 'Forecasting', 'Data Model', 'Mathematics', 'Performance Management', 'Strategy', 'Accounting', 'Customer Analysis', 'Human Resources', 'Human Resources Operations', 'Market Analysis', 'Market Research', 'Marketing', 'Mathematical Theory & Analysis', 'Operations Management', 'Operations Research', 'Organizational Development', 'People Analysis', 'People Management', 'Spreadsheet Software', 'Talent Management', 'Financial Accounting', 'People Development', 'Collaboration', 'Finance', 'Regulations and Compliance']","['Data Analysis', 'Business Analysis', 'Probability & Statistics', 'Leadership and Management', 'Strategy', 'Marketing', 'Finance']",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
HRCI Human Resource Associate,"{"" Benefits"","" Employee Relations"","" Mergers & Acquisitions"","" Performance Management"","" Recruitment"","" Risk Management"","" Training""}",4.7,327.0,Beginner , 3 - 6 Months,"['Benefits', 'Employee Relations', 'Mergers & Acquisitions', 'Performance Management', 'Recruitment', 'Risk Management', 'Training']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connect and Protect: Networks and Network Security,"{"" Network Security"","" Cloud Computing"","" Network Architecture""}",4.8,2000.0,Beginner , 1 - 4 Weeks,"['Network Security', 'Cloud Computing', 'Network Architecture']",['Cloud Computing'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financial Markets,"{"" Finance"","" Investment Management"","" Risk Management"","" Banking"","" Behavioral Economics"","" Critical Thinking"","" Decision Making"","" Financial Analysis"","" Innovation"","" Regulations and Compliance"","" Leadership and Management""}",4.8,26100.0,Beginner , 1 - 3 Months,"['Finance', 'Investment Management', 'Risk Management', 'Banking', 'Behavioral Economics', 'Critical Thinking', 'Decision Making', 'Financial Analysis', 'Innovation', 'Regulations and Compliance', 'Leadership and Management']","['Finance', 'Critical Thinking', 'Decision Making', 'Leadership and Management']",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Ciberseguridad de Google,"{"" Linux"","" Python Programming"","" SQL""}",4.9,1000.0,Beginner , 3 - 6 Months,"['Linux', 'Python Programming', 'SQL']",['Python Programming'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Indigenous Canada,"{"" Critical Thinking""}",4.8,21500.0,Mixed , 1 - 3 Months,['Critical Thinking'],['Critical Thinking'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
